2025-11-05 21:15:15,963 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:29,212 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:30,022 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,841 - INFO - Streamlit 앱 초기화
2025-11-05 21:15:36,969 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-15 08:55:00
2025-11-05 21:15:36,970 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-15 10:05:00
2025-11-05 21:15:36,970 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-15 12:10:00
2025-11-05 21:15:36,971 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-15 12:35:00
2025-11-05 21:15:36,971 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-15 12:45:00
2025-11-05 21:15:36,971 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-15 14:05:00
2025-11-05 21:15:36,971 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-15 14:50:00
2025-11-05 21:15:36,972 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-15 15:30:00
2025-11-05 21:15:36,972 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 03:45:00
2025-11-05 21:15:36,972 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 04:20:00
2025-11-05 21:15:36,972 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 04:25:00
2025-11-05 21:15:36,973 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 04:30:00
2025-11-05 21:15:36,973 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 04:35:00
2025-11-05 21:15:36,973 - INFO - MA200 모드 전환 감지 (롱), 쿨다운 종료 시각: 2024-01-16 14:50:00
2025-11-05 21:15:36,973 - INFO - MA200 모드 전환 감지 (숏), 쿨다운 종료 시각: 2024-01-16 14:55:00
